iter	Passed	Remaining
414	3512	4951
415	3521	4943
416	3530	4935
417	3536	4924
418	3547	4919
419	3555	4910
420	3564	4901
421	3573	4893
422	3581	4885
423	3592	4879
424	3598	4868
425	3606	4859
426	3616	4853
427	3624	4844
428	3635	4838
429	3643	4829
430	3653	4822
431	3662	4815
432	3672	4809
433	3680	4799
434	3688	4790
435	3694	4778
436	3706	4774
437	3713	4764
438	3722	4757
439	3730	4747
440	3741	4742
441	3750	4734
442	3759	4727
443	3768	4718
444	3775	4708
445	3785	4702
446	3795	4694
447	3803	4686
448	3811	4677
449	3820	4669
450	3830	4662
451	3836	4651
452	3846	4644
453	3857	4639
454	3864	4628
455	3872	4619
456	3880	4610
457	3888	4601
458	3896	4592
459	3907	4586
460	3913	4576
461	3924	4570
462	3933	4562
463	3941	4553
464	3951	4546
465	3960	4538
466	3970	4531
467	3980	4524
468	3992	4520
469	3999	4509
470	4008	4502
471	4015	4492
472	4026	4485
473	4034	4476
474	4045	4471
475	4057	4466
476	4067	4459
477	4076	4452
478	4086	4444
479	4094	4435
480	4101	4425
481	4111	4418
482	4119	4408
483	4127	4399
484	4133	4389
485	4142	4380
486	4148	4370
487	4158	4362
488	4164	4351
489	4174	4344
490	4180	4333
491	4188	4325
492	4196	4315
493	4205	4307
494	4211	4296
495	4218	4286
496	4224	4275
497	4231	4265
498	4238	4255
499	4249	4249
500	4256	4239
501	4263	4229
502	4269	4218
503	4276	4208
504	4284	4199
505	4292	4190
506	4298	4180
507	4308	4172
508	4321	4168
509	4328	4158
510	4341	4154
511	4356	4152
512	4366	4145
513	4374	4136
514	4385	4129
515	4393	4121
516	4405	4115
517	4419	4112
518	4431	4106
519	4444	4102
520	4453	4094
521	4468	4092
522	4489	4094
523	4516	4103
524	4527	4096
525	4553	4102
526	4566	4098
527	4576	4091
528	4587	4084
529	4594	4074
530	4605	4067
531	4614	4059
532	4626	4054
533	4637	4047
534	4646	4038
535	4654	4029
536	4663	4021
537	4671	4011
538	4682	4005
539	4690	3995
540	4700	3988
541	4709	3979
542	4718	3971
543	4726	3961
544	4732	3951
545	4741	3942
546	4747	3931
547	4756	3923
548	4763	3913
549	4771	3904
550	4778	3894
551	4787	3885
552	4795	3875
553	4806	3869
554	4815	3861
555	4822	3850
556	4831	3842
557	4842	3835
558	4851	3827
559	4860	3818
560	4868	3809
561	4876	3800
562	4889	3795
563	4895	3784
564	4905	3776
565	4913	3767
566	4921	3758
567	4931	3750
568	4951	3750
569	4961	3742
570	4970	3734
571	4984	3729
572	4997	3724
573	5010	3718
574	5032	3719
575	5055	3721
576	5079	3724
577	5100	3724
578	5110	3716
579	5122	3709
580	5140	3707
581	5157	3703
582	5174	3701
583	5183	3692
584	5196	3686
585	5205	3677
586	5214	3668
587	5223	3659
588	5235	3653
589	5243	3644
590	5251	3634
591	5265	3629
592	5277	3621
593	5288	3614
594	5297	3605
595	5306	3597
596	5319	3590
597	5330	3583
598	5339	3574
599	5352	3568
600	5362	3559
601	5376	3554
602	5387	3546
603	5395	3537
604	5404	3528
605	5414	3520
606	5423	3511
607	5433	3503
608	5445	3496
609	5453	3486
610	5460	3476
611	5469	3467
612	5478	3458
613	5486	3448
614	5497	3441
615	5508	3433
616	5519	3426
617	5530	3418
618	5539	3409
619	5550	3401
620	5561	3393
621	5571	3386
622	5578	3376
623	5628	3391
624	5683	3410
625	5695	3402
626	5707	3395
627	5723	3390
628	5747	3389
629	5759	3382
630	5779	3379
631	5795	3374
632	5805	3365
633	5817	3358
634	5831	3352
635	5846	3346
636	5859	3339
637	5866	3328
638	5874	3318
639	5883	3309
640	5891	3299
641	5896	3288
642	5907	3280
643	5915	3269
644	5922	3259
645	5931	3250
646	5938	3240
647	5946	3230
648	5954	3220
649	5959	3209
650	5966	3198
651	5975	3189
652	5986	3181
653	5995	3172
654	6003	3162
655	6011	3152
656	6019	3142
657	6027	3132
658	6037	3124
659	6045	3114
660	6055	3105
661	6064	3096
662	6077	3089
663	6090	3081
664	6098	3072
665	6108	3063
666	6120	3055
667	6134	3048
668	6141	3038
669	6149	3028
670	6154	3017
671	6162	3008
672	6168	2997
673	6176	2987
674	6183	2977
675	6193	2968
676	6205	2960
677	6216	2952
678	6226	2943
679	6234	2933
680	6241	2923
681	6250	2914
682	6257	2904
683	6265	2894
684	6272	2884
685	6280	2874
686	6288	2865
687	6300	2857
688	6309	2847
689	6317	2838
690	6325	2828
691	6334	2819
692	6346	2811
693	6360	2804
694	6371	2796
695	6385	2789
696	6397	2781
